origin_doi,origin_sub_area,target_doi,target_sub_area
10.1007/s11227-022-05024-y,arch,10.1109/PDP55904.2022.00011,arch
10.1145/3533318,pl,10.1109/IPDPS47924.2020.00107,arch
10.1016/j.future.2023.06.013,arch,10.1145/3468737.3494100,ds
10.1016/j.future.2023.06.013,arch,10.1145/3423211.3425682,ds
10.1007/s10766-021-00721-2,arch,10.1002/cpe.5772,arch
10.1109/PDP59025.2023.00013,arch,10.1002/cpe.7419,ds
10.1016/j.comnet.2023.109941,net,10.1109/IPDPS49936.2021.00046,arch
10.1007/s11227-022-05024-y,arch,10.1002/cpe.5786,arch
10.1002/cpe.6544,ds,10.1016/j.future.2017.11.028,arch
10.1016/j.jpdc.2022.02.004,arch,10.1016/j.jpdc.2020.10.001,arch
10.1016/j.parco.2022.102992,arch,10.1016/j.jpdc.2020.10.001,arch
10.1007/s11227-021-04217-1,arch,10.1007/s11227-021-03672-0,arch
10.1007/s11227-021-04217-1,arch,10.1007/s11227-020-03617-z,arch
10.1007/s11227-021-04217-1,arch,10.1007/s11227-020-03218-w,arch
10.1007/s11227-022-04967-6,arch,10.1007/s11227-021-04217-1,arch
10.1007/s11227-023-05419-5,arch,10.1007/s11227-022-04515-2,arch
10.1016/j.future.2023.12.022,arch,10.1016/j.future.2021.07.030,arch
10.1007/s11227-022-04967-6,arch,10.1007/s11227-021-03672-0,arch
10.1007/s11227-022-04967-6,arch,10.1007/s11227-020-03218-w,arch
10.1002/cpe.6544,ds,10.1016/j.future.2020.05.031,arch
10.1002/cpe.5972,ds,10.1016/j.future.2020.05.031,arch
10.1007/s11227-021-04182-9,arch,10.1002/spe.2948,ds
10.1007/s11227-022-05024-y,arch,10.1007/s11227-019-02914-6,arch
10.1109/PDP59025.2023.00014,arch,10.1145/3472456.3472516,arch
10.1016/j.jpdc.2023.02.009,arch,10.1109/TPDS.2020.3046537,arch
10.1016/j.jpdc.2021.05.006,arch,10.1109/TPDS.2020.3046537,arch
10.1002/cpe.7419,ds,10.1109/TPDS.2020.3046537,arch
10.1002/cpe.6600,ds,10.1109/TPDS.2020.3046537,arch
10.1109/PDP59025.2023.00015,arch,10.1002/cpe.6759,arch
10.1109/PDP59025.2023.00015,arch,10.1002/spe.2948,ds
10.1007/s11227-022-04932-3,arch,10.1002/spe.3056,ds
10.1016/j.future.2020.07.029,arch,10.1016/j.future.2019.07.073,arch
10.1002/spe.3154,ds,10.1007/s11227-021-03784-7,arch
10.1016/j.jss.2023.111744,se,10.1002/cpe.6082,arch
10.1002/cpe.7678,ds,10.1007/978-3-030-85665-6_20,arch
10.1007/s11227-024-05934-z,arch,10.1007/s11227-022-05024-y,arch
10.1007/s11227-022-04361-2,arch,10.1007/s11227-021-03672-0,arch
10.1007/s11227-022-04361-2,arch,10.1007/s11227-020-03617-z,arch
10.1016/j.future.2021.07.030,arch,10.1016/j.future.2017.07.061,arch
10.1109/HiPC50609.2020.00033,arch,10.1016/j.future.2020.07.038,arch
10.1007/s10766-022-00746-1,arch,10.1002/spe.3056,ds
10.1007/s11227-021-03672-0,arch,10.1007/s11227-020-03218-w,arch
10.1002/cpe.5904,arch,10.1002/cpe.5474,arch
10.1145/3638249,arch,10.1109/IPDPS49936.2021.00037,arch
10.1002/cpe.6819,ds,10.1002/cpe.6207,arch
10.1145/3478288,arch,10.1007/s10664-021-09950-y,se
10.1145/3650109,arch,10.1145/3478288,arch
10.1002/cpe.7825,arch,10.1002/cpe.6815,ds
10.1007/s11042-020-10314-9,graphics,10.1016/j.future.2019.09.045,arch
10.1002/spe.3154,ds,10.1016/j.future.2022.05.021,arch
10.1007/s11227-022-04932-3,arch,10.1109/PDP50117.2020.00009,arch
10.1007/s10766-022-00746-1,arch,10.1109/PDP50117.2020.00009,arch
10.1016/j.future.2021.07.021,arch,10.1109/PDP50117.2020.00009,arch
10.1002/spe.3056,ds,10.1109/PDP50117.2020.00009,arch
10.1016/j.jpdc.2022.12.006,arch,10.1016/j.jpdc.2021.04.002,arch
10.1002/cpe.6693,ds,10.1016/j.jpdc.2021.04.002,arch
10.1007/s11227-022-04936-z,arch,10.1007/s11042-021-11643-z,graphics
10.1109/IPDPS53621.2022.00042,arch,10.1145/3472456.3472516,arch
10.1016/j.future.2023.10.021,arch,10.1016/j.jss.2019.110443,se
10.1002/cpe.5904,arch,10.1002/cpe.5642,ds
10.1016/j.parco.2021.102889,arch,10.1002/cpe.5702,ds
10.1089/cmb.2023.0087,bio,10.1089/cmb.2021.0279,bio
10.1089/cmb.2023.0087,bio,10.1089/cmb.2020.0121,bio
10.1089/cmb.2023.0087,bio,10.1089/cmb.2019.0293,bio
10.1016/j.scico.2023.103028,formal,10.1109/TCBB.2020.3028776,bio
10.1089/cmb.2023.0087,bio,10.1109/TCBB.2020.2993002,bio
10.1007/s10878-023-01083-w,or,10.1109/TCBB.2020.2993002,bio
10.1093/bioinformatics/btac558,bio,10.1093/bioinformatics/btab418,bio
10.1093/bib/bbab434,bio,10.1093/bib/bbab011,bio
10.1093/bib/bbac218,bio,10.1093/bib/bbab434,bio
10.1109/BIBM52615.2021.9669278,bio,10.1186/s12859-020-03845-3,bio
10.1007/s10878-023-01083-w,or,10.1089/cmb.2019.0293,bio
10.1109/TCBB.2022.3165443,bio,10.1089/cmb.2021.0279,bio
10.1109/TCBB.2022.3165443,bio,10.1089/cmb.2020.0121,bio
10.1109/TCBB.2022.3165443,bio,10.1089/cmb.2019.0293,bio
10.1089/cmb.2021.0279,bio,10.1089/cmb.2020.0121,bio
10.1007/s10878-023-01083-w,or,10.1109/TCBB.2021.3095021,bio
10.1007/s10878-023-01083-w,or,10.1089/cmb.2020.0121,bio
10.1093/bib/bbac218,bio,10.1093/bib/bbab011,bio
10.1109/TCBB.2021.3077418,bio,10.1089/cmb.2019.0293,bio
10.1089/cmb.2023.0087,bio,10.1109/TCBB.2021.3077418,bio
10.1007/s10878-023-01083-w,or,10.1109/TCBB.2021.3077418,bio
10.1186/s12859-022-05022-0,bio,10.1007/978-3-030-89022-3_28,dbis
10.1007/978-3-031-34560-9_16,dbis,10.1186/s12859-022-05022-0,bio
10.1016/j.is.2023.102242,dbis,10.1186/s12859-022-05022-0,bio
10.1186/s12859-020-03881-z,bio,10.1109/TCBB.2019.2892099,bio
10.1186/s12859-020-03575-6,bio,10.1109/TCBB.2019.2892099,bio
10.1109/BIBM55620.2022.9995443,bio,10.1093/bib/bbab011,bio
10.1109/TCBB.2022.3215615,bio,10.1089/cmb.2021.0279,bio
10.1109/TCBB.2022.3215615,bio,10.1089/cmb.2020.0121,bio
10.1109/TCBB.2022.3215615,bio,10.1089/cmb.2019.0293,bio
10.1109/BIBM52615.2021.9669152,bio,10.1016/j.future.2021.07.030,arch
10.1145/3544548.3580739,chi,10.1145/3411764.3445637,chi
10.1080/10447318.2022.2062549,chi,10.1080/0144929X.2020.1734086,chi
10.1145/3555221,chi,10.1145/3430665.3456312,cse
10.1080/10447318.2022.2159769,chi,10.1016/j.ijhcs.2020.102495,chi
10.1007/978-3-031-42293-5_9,chi,10.1016/j.ijhcs.2019.09.004,chi
10.1080/0144929x.2022.2152727,chi,10.1080/10447318.2019.1612213,chi
10.1080/10447318.2022.2132361,chi,10.1080/10447318.2022.2062549,chi
10.1145/3593235,chi,10.1016/j.jss.2023.111680,se
10.1080/10447318.2023.2203006,chi,10.1080/10447318.2019.1612213,chi
10.1093/iwc/iwac029,chi,10.1145/3357236.3395554,chi
10.1111/cgf.14534,graphics,10.1145/3313831.3376399,chi
10.1080/0144929x.2022.2084455,chi,10.1007/s11042-022-12074-0,graphics
10.1007/978-3-031-42293-5_9,chi,10.1016/j.cag.2020.09.015,graphics
10.1016/j.ijhcs.2024.103223,chi,10.1016/j.jss.2019.110487,se
10.1007/s11042-022-12074-0,graphics,10.1080/10447318.2021.1926114,chi
10.1145/3544548.3581315,chi,10.1016/j.jss.2021.110942,se
10.1145/3544548.3581315,chi,10.1016/j.cag.2021.08.014,graphics
10.1007/978-3-031-42286-7_28,chi,10.1093/iwc/iwad003,chi
10.1007/s10664-022-10130-9,se,10.1145/3476042,chi
10.1145/3485732,cse,10.1016/j.ijhcs.2020.102495,chi
10.1080/10447318.2022.2118244,chi,10.1016/j.jss.2022.111223,se
10.1080/10447318.2022.2132361,chi,10.1016/j.infsof.2020.106497,se
10.1080/10447318.2022.2132361,chi,10.1016/j.jss.2019.110443,se
10.1016/j.infsof.2022.107041,se,10.1016/j.ijhcs.2020.102574,chi
